Module,Score,Price ($),Price Efficiency (Score/$),URL
Kingston KHX2666C16/16G 16GB,16915,,,
Crucial Technology CT8G4SFRA266.M16FG 8GB,16914,,,
Micron Technology DDR4 4GB 2666MHz 4GB,16913,,,
Micron Technology 16ATF2G64HZ-2G6E3 16GB,16913,,,
Corsair CMK32GX4M2B3466C16 16GB,16910,,,
G Skill Intl F4-3000C15-4GRK 4GB,16909,,,
Corsair CMK64GX4M2A2400C16 32GB,16908,,,
Kingston HX432C16FB/8 8GB,16908,,,
Crucial Technology BLS8G4D26BFSBK.8FBD 8GB,16908,,,
Kingston KHX2666C16/8G 8GB,16908,,,
Crucial Technology BL8G30C15U4BL.M8FE 8GB,16907,,,
Patriot Memory (PDP Systems) 2400 C14 Series 8GB,16907,,,
Crucial Technology BLS16G4D26BFSE.16FE 16GB,16907,,,
Crucial Technology BL8G26C16U4B.8FD 8GB,16902,,,
InnoDisk Corporation M4U0-8GSSKCSJ 8GB,16901,,,
Apacer Technology AQD-D4U8GN26-SE 8GB,16898,,,
Kingston 9905734-022.A00G 16GB,16894,,,
Corsair CMSX32GX4M2A3000C16 16GB,16891,,,
Kingston KHX2400C12D4/16GX 16GB,16889,,,
Micron Technology V-GeN D4V16GL24A8R 16GB,16889,,,
Corsair CMT32GX4M2C3000C15 16GB,16887,,,
"PNY Technologies, Inc. 16GU2X08QJLL42-12-K 16GB",16883,,,
Wilk Elektronik S.A. GR3200S464L22S/8G 8GB,16883,,,
G Skill Intl F4-2666C19-8GNT 8GB,16883,,,
G Skill Intl F4-3200C16-8GVR 8GB,16881,,,
Apacer Technology 78.CAGPP.40C0B 8GB,16881,,,
Kingston RB26D4U9D8MEH-16 16GB,16879,,,
Corsair CMK16GX4M4C3200C16 4GB,16879,,,
Corsair CMW32GX4M2G4000C18 16GB,16879,,,
Kingston KF432S20IBK2/16 8GB,16878,,,
Crucial Technology CT16G4DFD8266.C16FP 16GB,16878,,,
Crucial Technology CT8G4DFD8213.M16FB 8GB,16874,,,
Asgard VMA44UG-MEC1U2AW1 8GB,16874,,,
Kingston KKRVFX-HYC 8GB,16874,,,
PUSKILL PSK-D4D22M3200BL-16G 16GB,16868,,,
Crucial Technology BLS8G4D26BFSEK.8FBD 8GB,16866,,,
Crucial Technology CT16G4DFD824A.M16FA 16GB,16865,,,
Kingston KHX2400C15D4/8G 8GB,16864,,,
Micron Technology 8ATF2G64HZ-3G2E1 16GB,16863,,,
Apacer Technology GD2.1542CS.001 8GB,16863,,,
Crucial Technology BLS16G4D240FSB.16FBD 16GB,16855,,,
G Skill Intl F4-3200C16-8GTZKY 8GB,16855,,,
Kingston 9905701-029.A00G 16GB,16854,,,
Crucial Technology BLS4G4D240FSB.M8FADG 4GB,16854,,,
Crucial Technology CT8G4DFS824A.M8FR 8GB,16852,,,
Essencore Limited IM4AGU88N26-GIIHA0 16GB,16852,,,
A-DATA Technology AO2P32NC8W1-BD3SHC 8GB,16851,,,
Crucial Technology CT8G4SFS832A.C8FE 8GB,16848,,,
SanMax Technologies Inc. SMD4-U8G48HA-24RF 8GB,16848,,,
G Skill Intl F4-2666C15-16GVR 16GB,16844,,,
Avexir Technologies Corporation DDR4-2666 CL15 4GB 4GB,16842,,,
Kingston CBD32D4U2D8MJ-16 16GB,16841,,,
Kingston KHX2400C15D4/4G 4GB,16840,,,
Crucial Technology BLS4G4D26BFSE.8FD2 4GB,16840,,,
Crucial Technology BL32G32C16S4B.M16FB1 32GB,16840,,,
Crucial Technology BLS8G4D26BFSC.16FD2 8GB,16839,,,
Kingmax Semiconductor GLLF62F-C6---------- 4GB,16835,,,
Corsair CMU32GX4M2A2666C16 16GB,16835,,,
Crucial Technology BLS16G4D240FSB.16FD 16GB,16833,,,
Crucial Technology CT16G4SFRA32A.C8FB 16GB,16832,,,
G Skill Intl F4-3600C17-8GTRG 8GB,16832,,,
Corsair CMK16GX4M4B3333C16 4GB,16831,,,
Silicon Power Computer & Communications SP008GBSFU320B02 8GB,16830,,,
Crucial Technology BLS8G4D26BFSC.16FBR2 8GB,16828,,,
Corsair CMW32GX4M2A2666C16 16GB,16826,,,
Essencore Limited KD48GU88C-26N1900 8GB,16825,,,
SpecTek Incorporated 16G2666CL19 16GB,16825,,,
Crucial Technology BLS16G4D26BFSE.16FBR 16GB,16819,,,
Asgard VMA47UG-CMC1U22T3 8GB,16818,,,
Apacer Technology 78.CAGR4.40C0B 8GB,16817,,,
Kingston KHX2400C15/16G 16GB,16817,,,
G Skill Intl F4-2400C15-8GVS 8GB,16814,,,
Samsung M471A1K43DB1-CWE 8GB,16812,,,
EVGA 16G-D4-2400-MR 8GB,16811,,,
Hewlett-Packard 7EH55AA# 8GB,16810,,,
Samsung V-GeN D4S8GL30A8TX5 8GB,16809,,,
G Skill Intl F4-2666C19-32GNT 32GB,16807,,,
Corsair CMK8GX4M2A2400C16 4GB,16806,,,
Crucial Technology CT16G4SFRA32A.M8FF 16GB,16805,,,
Crucial Technology BLS8G4D240FSB.16FBD2 8GB,16804,,,
Apacer Technology 78.D2GG7.AU30B 16GB,16800,,,
Crucial Technology CT4G4DFS8266.C8FG 4GB,16799,,,
Essencore Limited 8GBF1X08QFHH38-135-K 8GB,16799,,,
Kingston MSI26D4S9S8HJ-8 8GB,16796,,,
Crucial Technology CT16G4SFD8266.C16FN 16GB,16796,,,
Corsair CM4B16G2L2666A18K2 16GB,16796,,,
Crucial Technology CT8G4DFS8266.C8FE 8GB,16796,,,
Kingston HP26D4U9D8ME-16X 16GB,16791,,,
Kingston ACR26D4U9D8ME-16 16GB,16790,,,
Corsair CM4X8GF2666C16K8 8GB,16790,,,
Essencore Limited KD48GU881-26N190D 8GB,16789,,,
Corsair CM4B8G2J2666A15D 8GB,16787,,,
Samsung M471A1G44CB0-CWE 8GB,16787,,,
Kingston 9905678-058.A00G 4GB,16785,,,
SK Hynix HMA82GU6CJR8N-VK 16GB,16784,,,
Crucial Technology BLT16G4D26BFT4.C16FD 16GB,16784,,,
Kingston 9905700-046.A00G 16GB,16784,,,
Crucial Technology CT8G4DFRA266.M8FR 8GB,16783,,,
Micron Technology 8ATF1G64AZ-3G2J1 8GB,16781,,,
Hynix Semiconductor (Hyundai Electronics) HMA81GS6JJR8N-VK 8GB,16780,,,
Crucial Technology CT8G4SFRA32A.M8FR 8GB,16780,,,
Shenzhen Micro Innovation Industry MCRGB 3200 DDCD4III6 16GB,16773,,,
Micron Technology 4ATF51264HZ-3G2R1 4GB,16773,,,
,12063,,,
Nanya Technology 16G3200CL16RGB 16GB,16772,,,
Apacer Technology D12.2326BH.001 16GB,16772,,,
Avant Technology J641GU49J2320NE 8GB,16771,,,
A-DATA Technology DDR4 2800 2OZ 4GB,16770,,,
Crucial Technology BLS16G4D240FSB.16FAD 16GB,16770,,,
Kingston KHX2933C17S4/16G 16GB,16770,,,
Kingston 9905678-121.A00G 8GB,16769,,,
Wilk Elektronik S.A. IRX3000D464L16S/4G 4GB,16768,,,
Crucial Technology CT8G4SFRA32A.C8FT 8GB,16764,,,
Crucial Technology CT8G4DFS824A.C8FJ 8GB,16763,,,
Samsung M471A5244CB0-CWE 4GB,16762,,,
Essencore Limited KD48GS88C-26N1900 8GB,16762,,,
SK Hynix HMA81GS6DJR8N-XN 8GB,16760,,,
Crucial Technology BLE4G4D26AFEA.8FBD 4GB,16758,,,
Samsung M391A4G43MB1-CTD 32GB,16757,,,
Crucial Technology CT8G4SFD824A.M16FE1 8GB,16757,,,
Kingston 9905734-002.A00G 16GB,16757,,,
Kinsotin KINSOTIN8GB2666MHZ 8GB,16757,,,
G Skill Intl F4-3466C16-16GTZSW 16GB,16755,,,
Corsair CM4X8GF2400C14K4 8GB,16755,,,
Corsair CM4X16GE2666C18S2 16GB,16755,,,
Transcend Information JM2666HLB-8G 8GB,16755,,,
Crucial Technology BLS4G4D240FSE.8FBD 4GB,16753,,,
Micron Technology 16ATF2G64AZ-2G6H1 16GB,16751,,,
Corsair CMK8GX4M1A2666C16 8GB,16750,,,
V-Color Technology Inc. TN48G26S819-SB 8GB,16748,,,
Crucial Technology CT8G4SFRA32A.M8FRS 8GB,16747,,,
Corsair CMU16GX4M2A2400C16 8GB,16747,,,
Apacer Technology D12.2324CS.001 8GB,16745,,,
Corsair CMK64GX4M4C3200C16 16GB,16745,,,
A-DATA Technology AD4S3200J4G22-BHYD 4GB,16744,,,
Micron Technology DDR4 16GB 2666MHz 16GB,16742,,,
Crucial Technology BLE4G4D26AFEA.8FAD 4GB,16740,,,
Thermaltake Technology Co Ltd R002D408GX2-2666C19D 8GB,16740,,,
Lexar Co Limited LD4AU008G-H2666GSC 8GB,16739,,,
G Skill Intl F4-3200C16-4GVK 4GB,16737,,,
Hewlett-Packard 7EH64AA#ABC 8GB,16737,,,
Gloway International Co. Ltd. TYP4U3000E16082C 8GB,16731,,,
Kingston 99U5701-077.A00G 16GB,16731,,,
Wilk Elektronik S.A. IRH2666D464L19S/8G 8GB,16729,,,
Crucial Technology CT8G4DFD824A.M16FF 8GB,16729,,,
Patriot Memory (PDP Systems) PSD48G26662 8GB,16728,,,
Corsair CMR32GX4M4C3000C16 8GB,16727,,,
Kingston 9905711-038.A00G 8GB,16727,,,
Apacer Technology D22.27289S.004 16GB,16727,,,
Chun Well Technology Holding Limited D4U0826190B 8GB,16726,,,
Crucial Technology CT8G4SFRA32A.C8FR 8GB,16723,,,
Corsair CM4B16G1L3200K18K2 16GB,16722,,,
Corsair CMR32GX4M4C3600C18 8GB,16719,,,
Kingston HP32D4S2S1ME-4 4GB,16718,,,
G Skill Intl F4-2933C14-16GTZRX 16GB,16717,,,
Wilk Elektronik S.A. IR2400D464L15S/8G 8GB,16715,,,
Crucial Technology BLS4G4D240FSA.8FBD 4GB,16715,,,
Avexir Technologies Corporation DDR4-3200 C16 8GB 8GB,16711,,,
Corsair CM4X8GE2400C16K4 8GB,16711,,,
Crucial Technology BLS4G4D240FSC.M8FADG 4GB,16709,,,
Essencore Limited IM44GU48N26-GIIHA0 4GB,16703,,,
Crucial Technology BLS4G4D26BFSC.8FB 4GB,16702,,,
Crucial Technology BLS4G4D26BFSB.8FBD2 4GB,16701,,,
G Skill Intl F4-2666C19-32GTRS 32GB,16700,,,
Lexar Co Limited LD4AU008G-H2666G 8GB,16696,,,
Crucial Technology BLS8G4D240FSE.16FAR 8GB,16695,,,
G Skill Intl F4-2666C19-8GVR 8GB,16695,,,
Kingston KHX2666C15/16GX 16GB,16695,,,
Crucial Technology CT16G4DFD8213.C16FBD 16GB,16694,,,
Crucial Technology CT8G4DFD8213.C16FHP 8GB,16690,,,
Kingston HP32D4U8S8ME-8X 8GB,16688,,,
Kingston ACR32D4S2S1MF-8 8GB,16686,,,
Corsair CM4X8GD3000C16K4 8GB,16686,,,
G Skill Intl F4-2400C15-8GFX 8GB,16683,,,
Avant Technology J641GU42J7240N3 8GB,16683,,,
Kingston KHX2400C15/8G 8GB,16682,,,
SK Hynix HMA82GS7CJR8N-VK 16GB,16681,,,
Micron Technology 36ASF8G72PZ-3G2E1 64GB,16681,,,
Kingston 9905702-014.A00G 8GB,16681,,,
Crucial Technology BLT8G4D26AFTA.16FAD 8GB,16680,,,
A-DATA Technology AM2P24HC8T1-BUSS 8GB,16679,,,
Crucial Technology CT16G4DFD824A.M16FH 16GB,16679,,,
Kingston X75V1H-MIE 32GB,16679,,,
Kingston KHX2400C12D4/8GX 8GB,16678,,,
Corsair CMR16GX4M2E4266C19 8GB,16678,,,
Kingston KHYXPX-MID 8GB,16676,,,
Hoodisk Electronics Co Ltd GKE160SO102408-2666 16GB,16676,,,
Crucial Technology BLS4G4D240FSA.M8FADG 4GB,16673,,,
SK Hynix HMA81GU6JJR8N-VK 8GB,16672,,,
Team Group Inc. TEAMGROUP-UD4-3466 8GB,16672,,,
Corsair CMK8GX4M2B3733C17 4GB,16671,,,
G Skill Intl F4-2400C16-8GFT 8GB,16670,,,
Crucial Technology CT8G4SFRA32A.C4FE 8GB,16669,,,
G Skill Intl F4-2933C16-16GTZRX 16GB,16669,,,
Kingston KTP9W1-MIE 16GB,16669,,,
Crucial Technology BLS4G4D26BFSB.8FE 4GB,16669,,,
Kingston HX421C14FB2K2/16 8GB,16666,,,
Corsair CMK16GX4M2A2666C16 8GB,16666,,,
Corsair CMK16GX4M2Z2400C16 8GB,16666,,,
Avant Technology W642GU42J9266N8 16GB,16665,,,
Corsair CMD16GX4M4B3200C16-R 4GB,16664,,,
Crucial Technology CT8G4SFRA32A.M4FF 8GB,16663,,,
Kingston KY7N41-MID 8GB,16661,,,
Corsair CMK128GX4M4A2400C16 32GB,16661,,,
Corsair CMD64GX4M4C3200C16 16GB,16657,,,
Crucial Technology CT8G4DFRA266.M8FJ 8GB,16654,,,
Smart Modular SF4641G8CKHI6DFSEG 8GB,16654,,,
Smart Modular SF4641G8CK8I8HLSBG 8GB,16654,,,
Wilk Elektronik S.A. IRX2666D464L16/16G 16GB,16652,,,
Corsair CMWX8GD3000C16W4D 8GB,16651,,,
AMD R744G2400U1S-UO 4GB,16650,,,
Crucial Technology BLS8G4D240FSC.16FBD2 8GB,16649,,,
Corsair CMV16GX4M1A2666C18 16GB,16649,,,
Kingston HP24D4U7S1MBP-4 4GB,16648,,,
Patriot Memory (PDP Systems) PSD44G266681 4GB,16647,,,
Corsair CMK8GX4M2A2133C13 4GB,16647,,,
Corsair CMK32GX4M4B3200C14 8GB,16645,,,
Patriot Memory (PDP Systems) PSD416G26662 16GB,16645,,,
Kingston 9965745-022.A00G 32GB,16643,,,
Crucial Technology CT8G4SFRA32A.M4FEA 8GB,16635,,,
Corsair CM4X8GC3200C16K2E 8GB,16635,,,
G Skill Intl F4-3000C15-4GVSB 4GB,16630,,,
Transcend Information TS512MLH64V4H 4GB,16626,,,
Corsair CMD32GX4M4A2666C16 8GB,16624,,,
Mushkin MB[A/B]4U240FFFF16G 16GB,16623,,,
Gold Key Technology Co Ltd NMSO480E82-3200E 8GB,16619,,,
Corsair CMW16GX4M2Z4600C18 8GB,16618,,,
Corsair CMW32GX4M4A2666C16 8GB,16617,,,
Corsair CMK4GX4M1A2400C16 4GB,16617,,,
Kllisre 8G 8GB,16616,,,
Corsair CMK16GX4M4C3200C15 4GB,16616,,,
Kingston HP32D4U8S8HC-8XR 8GB,16615,,,
Avant Technology W641GU48J7240ND 8GB,16614,,,
G Skill Intl F4-2666C18-8GTZR 8GB,16613,,,
Corsair CMK16GX4M1A2666C16 16GB,16611,,,
Crucial Technology CT16G4DFRA266.C8FE 16GB,16610,,,
G Skill Intl F4-3000C15-8GRBB 8GB,16609,,,
OCPC MMX3A2K16GD432C16 8GB,16608,,,
V-Color Technology Inc. TL8G36818D-E6PRSWK 8GB,16608,,,
Corsair CM4X16GE2666C16K4 16GB,16608,,,
Chun Well Technology Holding Limited CL16-18-18 D4-2666 8GB,16606,,,
Corsair CMWX16GE2933Z19W8 16GB,16606,,,
SK Hynix HMA851U6JJR6N-VK 4GB,16606,,,
Apacer Technology 78.C1GMM.AUW0C 8GB,16604,,,
Lexar Co Limited LD4AU016G-H2666G 16GB,16601,,,
Kingston XRMWRN-MIE 16GB,16601,,,
Silicon Power Computer & Communications SP016GBLFU240B02 16GB,16599,,,
Kingston 9905713-030.A00G 8GB,16599,,,
G Skill Intl F4-2400C17-4GNT 4GB,16597,,,
Corsair CMR32GX4M4D3200C16 8GB,16596,,,
Gold Key Technology Co Ltd GKE800SO102408-2666A 8GB,16596,,,
Corsair CM4X8GF2666Z16K4 8GB,16593,,,
Crucial Technology BLE8G4D26AFEA.16FBD 8GB,16591,,,
Samsung M471A2K43DB1-CWE 16GB,16590,,,
Crucial Technology CT32G4SFD8266.M16FB 32GB,16590,,,
Kingston HX426C16FB2/8 8GB,16590,,,
Essencore Limited IM4AGU88N24-FFFHA0 16GB,16589,,,
Corsair CMD16GX4M4B3000C15 4GB,16587,,,
Kingston X5H5PW-MIB 8GB,16586,,,
Gold Key Technology Co Ltd GKE160SO102408-2400 16GB,16583,,,
G Skill Intl F4-3200C15-8GVR 8GB,16583,,,
Kingston 8ATF1G64AZ-2G1B1 8GB,16582,,,
Corsair CMK16GX4M2A2400C16 8GB,16581,,,
Chun Well Technology Holding Limited MD4U1632160DCW 16GB,16581,,,
Samsung M378A5143EB2-CRC 4GB,16579,,,
Apacer Technology D12.2326WH.001 16GB,16575,,,
Kingston KHX2800C14D4/8GX 8GB,16575,,,
Kingston HX421C14FB/4 4GB,16574,,,
A-DATA Technology AO2P24HC8T1-BWBS 8GB,16573,,,
Crucial Technology CT8G4DFS832A.M8FJ 8GB,16573,,,
Kingston KHX2133C14D4/8G 8GB,16573,,,
Corsair CMK32GX4M1A2666C16 32GB,16572,,,
Crucial Technology CB8GU2400.C8JT 8GB,16572,,,
Samsung M378A1K43DB2-CTD 8GB,16572,,,
Kingston 9905701-143.A00G 16GB,16568,,,
Chun Well Technology Holding Limited MD4U0836181BCW 8GB,16568,,,
Neo Forza NMUD480E82-2666 8GB,16566,,,
Kingston 9905700-080.A00G 16GB,16565,,,
Micron Technology 8ATF1G64AZ-2G6J1 8GB,16563,,,
Crucial Technology CT8G4DFS8266.C8FN 8GB,16561,,,
Wilk Elektronik S.A. GR2666S464L19S/8G 8GB,16558,,,
G Skill Intl F4-2133C15-16GFXR 16GB,16558,,,
Corsair CMW64GX4M4K3600C18 16GB,16558,,,
Kingston X3XCFP-HYA 8GB,16555,,,
Corsair CM4X8GF2666C16K2 8GB,16554,,,
Smart Modular SMU4WEC8C2K0464FCG 16GB,16553,,,
G Skill Intl F4-2666C19-8GIS 8GB,16551,,,
Corsair CMR16GX4M2A2666C16 8GB,16549,,,
Thermaltake Technology Co Ltd R009D408GX2-3000C16B 8GB,16549,,,
A-DATA Technology DDR4 2666 2OZ 4GB,16548,,,
Kingston 9905744-111.A00G 32GB,16547,,,
A-DATA Technology AO2P26KC8T1-BXGSHC 8GB,16547,,,
Corsair CMD16GX4M4B3300C16 4GB,16547,,,
Apacer Technology D22.27553S.002 16GB,16547,,,
Corsair CMK32GX4M4Z2933C16 8GB,16540,,,
G Skill Intl F4-2400C15-8GIS 8GB,16540,,,
SK Hynix HMAA4GS6CJR8N-XN 32GB,16539,,,
Patriot Memory (PDP Systems) 2400 C16 Series 16GB,16536,,,
Kingston KTP9W1-MID 16GB,16535,,,
Crucial Technology BLS16G4D26BFSE.16FD 16GB,16533,,,
PUSKILL PJ16TFK1GM8 16GB,16532,,,
Kingston KHX2666C15/32GX 32GB,16530,,,
Apacer Technology D12.2356WS.001 8GB,16530,,,
Crucial Technology BLS4G4D240FSC.8FBR2 4GB,16529,,,
Crucial Technology BL32G32C16S4B.16FB 32GB,16529,,,
G Skill Intl F4-2400C15-8GTZR 8GB,16526,,,
Kingston 99U5701-049.A00G 16GB,16526,,,
Corsair CMU32GX4M2A2400C14 16GB,16523,,,
Kingston 9965669-017.A00G 16GB,16521,,,
Crucial Technology BL8G26C16U4R.8FD 8GB,16520,,,
V-Color Technology Inc. TD416G26D819-VC 16GB,16519,,,
Golden Empire CL14-16-16 D4-2400 16GB,16519,,,
Micron Technology 8G2666CL19 8GB,16519,,,
Asgard VMA44UI-MIC1U22T2 32GB,16515,,,
Crucial Technology CT8G4DFS8266.M8FE 8GB,16512,,,
"PNY Technologies, Inc. M4S08S681QMMM52-12 8GB",16510,,,
Apacer Technology GD2.111881.002 4GB,16505,,,
Transcend Information JM2666HLG-16GK 8GB,16504,,,
Corsair CMR64GX4M4C3466C16 16GB,16503,,,
Kingston KF432C16BB1/16-SP 16GB,16502,,,
Apacer Technology 78.C1GS7.AUW0B 8GB,16499,,,
G Skill Intl F4-2800C16-8GVG 8GB,16498,,,
A-DATA Technology AO1P24HCST2-BSCS 16GB,16497,,,
SK Hynix HMAA2GS6CJR8N-XN 16GB,16496,,,
Essencore Limited IM44GU48N28-GGGHM 4GB,16496,,,
G Skill Intl F4-2400C15-16GVR 16GB,16495,,,
Crucial Technology CT8G4DFS824A.M8FA 8GB,16495,,,
Essencore Limited KD4AGUA80-32N2200 16GB,16492,,,
Corsair CMSX32GX4M1A2666C18 32GB,16488,,,
Crucial Technology CT4G4DFS824A.C8FBD2 4GB,16487,,,
G Skill Intl F4-3000C16-16GVRB 16GB,16486,,,
Corsair CMK64GX4M4D3000C16 16GB,16486,,,
Corsair CMR64GX4M8C3000C15 8GB,16485,,,
G Skill Intl F4-2400C17-4GIS 4GB,16483,,,
Kingston 9905702-204.A00G 8GB,16477,,,
Crucial Technology CB8GU2666.C8RT 8GB,16477,,,
Silicon Power Computer & Communications SP016GXLZU360B0A 16GB,16474,,,
Micron Technology AFLD416LS1C 16GB,16471,,,
Corsair CMSX16GX4M2A3000C16 8GB,16468,,,
Crucial Technology BLS16G4D240FSC.16FBR 16GB,16467,,,
Kingston HP26D4U9D8HC-16X 16GB,16467,,,
Kingston CBD24D4U7S8MA-8 8GB,16467,,,
Kingston 9905700-120.A00G 16GB,16467,,,
Kingston KHX2400C15S4/16G 16GB,16466,,,
Kingston 9965669-009.A00G 8GB,16466,,,
Corsair CMK32GX4M2A2666C16 16GB,16465,,,
Patriot Memory (PDP Systems) PSD416G21332 16GB,16465,,,
Corsair CM4X16GE2666C18S4 16GB,16465,,,
Golden Empire CL19-19-19 D4-2666 4GB,16462,,,
Kingston 9905713-001.A00G 4GB,16461,,,
Panram International Corporation PUD42133C158G2VS 8GB,16459,,,
Corsair CMK32GX4M2A2400C16 16GB,16459,,,
Kingston HX432S22IB/16 16GB,16459,,,
A-DATA Technology AM2P26KC4R1-BXTS 4GB,16458,,,
Kingston 9905734-020.A00G 16GB,16455,,,
Corsair CMK32GX4M4D3000C16 8GB,16452,,,
G Skill Intl F4-3000C14-16GVR 16GB,16452,,,
Crucial Technology CT8G4DFS824A.M8FD 8GB,16449,,,
G Skill Intl F4-3200C15-8GTZSW 8GB,16447,,,
G Skill Intl F4-2666C15-4GVK 4GB,16447,,,
Crucial Technology CT16G4SFRA266.M16FR 16GB,16447,,,
A-DATA Technology AO1P32NC8T1-BCIS 8GB,16446,,,
Corsair CMK16GX4M2K4133C19 8GB,16446,,,
"PNY Technologies, Inc. 8GBU1X08JGGG39-12-K 8GB",16446,,,
PCCOOLER PSD40832E16P1 8GB,16445,,,
Kingston MSI32D4S2S1ME-8 8GB,16445,,,
Kingston KF2666C15S4/8G 8GB,16444,,,
Crucial Technology CT8G4DFD824A.M16FB 8GB,16444,,,
Micron Technology 8ATF1G64AZ-2G6E1 8GB,16444,,,
A-DATA Technology AO1P32NC8W1-BDAS 8GB,16439,,,
G Skill Intl F4-2400C16-16GFT 16GB,16438,,,
Corsair CMR16GX4M2K4266C19 8GB,16436,,,
Samsung M378A1K43CB2-CRC 8GB,16436,,,
Crucial Technology CT4G4DFS8266.C8FE 4GB,16435,,,
BRC MD401GNSE-CB4M2 8GB,16435,,,
Team Group Inc. TEAMGROUP-UD4-2666 8GB,16435,,,
Apacer Technology 76.D305G.D060B 16GB,16433,,,
Crucial Technology BLS8G4D240FSC.16FARG 8GB,16432,,,
Corsair CMK32GX4M2A2800C16 16GB,16432,,,
Corsair CMWX16GC3000C15W4 16GB,16432,,,
Kingston 9905700-086.A00G 8GB,16429,,,
Kingston 9905700-011.A00G 8GB,16429,,,
G Skill Intl F4-3400C16-4GRBD 4GB,16428,,,
Ramaxel Technology RMUA5180ME78HBF-2666 16GB,16428,,,
Crucial Technology CT16G4SFD824A.C16FT 16GB,16428,,,
Micron Technology 16ATF4G64HZ-3G2E1 32GB,16427,,,
Crucial Technology CT8G4DFS8213.C8FH1 8GB,16427,,,
Netac Technology Co Ltd EKBLACK4163216AD 8GB,16426,,,
Panram International Corporation W4U2400PS-8G 8GB,16425,,,
Corsair CMU16GX4M2A2666C16 8GB,16424,,,
Crucial Technology CT8G4DFD8213.C16FA11 8GB,16424,,,
Kingston 9905702-010.A00G 8GB,16424,,,
Smart Modular SMU4RCC3C0K0464SCG 4GB,16422,,,
SK Hynix HMAA4GU6AJR8N-VK 32GB,16421,,,
Crucial Technology CT16G4DFRA266.C8FB 16GB,16420,,,
Crucial Technology BLS8G4S240FSD.16FBD2 8GB,16415,,,
Kingston KHX2666C15S4/16G 16GB,16415,,,
Corsair CM4X8GF2400Z16K4 8GB,16414,,,
Crucial Technology CT8G4SFRA266.C4FE 8GB,16414,,,
Crucial Technology BLS8G4D30CESTK.8FD 8GB,16414,,,
Corsair CMK8GX4M2A2800C16 4GB,16413,,,
Kingston MSI24D4S7S8MH-8 8GB,16413,,,
SK Hynix HMA82GU6AFR8N-TF 16GB,16411,,,
Kingston ACR26D4U9S8ME-8 8GB,16410,,,
Micron Technology 4ATF51264HZ-2G6E3 4GB,16410,,,
Crucial Technology BLT16G4D30AETA.K16FB 16GB,16409,,,
Kingston ASU21D4U5S8MB-8 8GB,16408,,,
Kingston ACR26D4U9S8MH-8 8GB,16408,,,
G Skill Intl F4-3200C16-8GTZKO 8GB,16407,,,
Wilk Elektronik S.A. W-HK26S08G 8GB,16405,,,
Crucial Technology CT8G4DFS824A.C8FAD1 8GB,16404,,,
Kingston 9905701-032.A00G 16GB,16403,,,
Samsung M378A2K43CB1-CRC 16GB,16403,,,
Apacer Technology GD2.1527WC.001 8GB,16402,,,
Corsair CMW64GX4M4C3000C15 16GB,16402,,,
"PNY Technologies, Inc. M4S32S682LJJJ43-12 32GB",16400,,,
A-DATA Technology DDR4 2666 8GB,16399,,,
Patriot Memory (PDP Systems) 2666 C16 Series 8GB,16398,,,
Kingston KHX2400C14D4/16G 16GB,16398,,,
Samsung M471A4G43AB1-CWE 32GB,16398,,,
OM Nanotech Pvt.Ltd V1D4LF16GB1G81G82666 16GB,16397,,,
Golden Empire CL18-20-20 D4-3000 8GB,16397,,,
Kingston HP32D4U8S8HC-8X 8GB,16397,,,
Hewlett-Packard 7EH61AA# 8GB,16395,,,
Corsair CMU64GX4M4C3000C15 16GB,16395,,,
G Skill Intl F4-2400C15-8GVB 8GB,16395,,,
V-Color Technology Inc. TL8G42819D-E6PRWWK 8GB,16394,,,
Kingston 99U5713-002.A00G 4GB,16393,,,
Corsair CMK8GX4M1A2400C16 8GB,16388,,,
SK Hynix HMAA4GS6AJR8N-XN 32GB,16387,,,
Apacer Technology 78.B1GS6.AUC0B 4GB,16387,,,
Kingston KHX2400C14S4/8G 8GB,16387,,,
Essencore Limited KD4AGUA8A-26N1900 16GB,16386,,,
Essencore Limited IM48GU48N28-GGGHM 8GB,16384,,,
Colorful Technology Ltd BAPC08G3200D4T8 8GB,16384,,,
G Skill Intl F4-2400C15-8GVR 8GB,16383,,,
Crucial Technology CT4G4DFS8213.8FA11 4GB,16383,,,
Crucial Technology CT8G4DFD8213.C16FBD1 8GB,16383,,,
Kingston 9905700-101.A00G 16GB,16383,,,
Golden Empire CL17-17-17 D4-2400 16GB,16382,,,
Hoodisk Electronics Co Ltd GKE160SO102408-2400 16GB,16380,,,
"PNY Technologies, Inc. 16GF1X16QFHH36-135-K 16GB",16377,,,
Gloway International Co. Ltd. WAR4U2666D19161C-S 16GB,16375,,,
Crucial Technology BLS8G4D240FSE.16FBD 8GB,16373,,,
Samsung M378A1K43BB1-CPB 8GB,16373,,,
Kingston CBD26D4U9D8ME-16 16GB,16372,,,
Kingston CBD26D4U9S8MH-8 8GB,16371,,,
Samsung M378A1K43CB2-CTD 8GB,16370,,,
ASint Technology ASSD4320008G6b223 8GB,16369,,,
Team Group Inc. DDR4 2800 8GB,16368,,,
Crucial Technology CB8GU2400.C8ET 8GB,16365,,,
Samsung M474A2K43BB1-CRC 16GB,16361,,,
Shenzhen Larix Technology Co Ltd BORY 16GB,16361,,,
A-DATA Technology AX4U32008G16A-SW10 8GB,16358,,,
